Lat_Lon,Crime_Rating
"(40.711068372, -73.990958569)",111.6
"(40.71106837200006, -73.99095856899999)",32.6
"(40.711085049, -73.994204913)",14.1
"(40.711085049000076, -73.99420491299998)",15.6
"(40.711086727, -73.983286365)",8.5
"(40.711211273, -74.006447262)",6.4
"(40.711219249, -73.98993775)",22.2
"(40.711219249000074, -73.98993774999997)",8.4
"(40.711237896, -73.984786864)",33.8
"(40.711238719, -74.006479728)",16.0
"(40.711252168, -73.98973575)",35.4
"(40.711252168000044, -73.98973574999997)",4.5
"(40.71127352, -73.984350402)",26.2
"(40.71127352000008, -73.98435040199998)",8.5
"(40.711289419, -73.980606265)",41.0
"(40.711289419000025, -73.98060626499995)",24.799999999999997
"(40.711320721, -73.989025146)",173.4
"(40.71132072100005, -73.98902514599996)",7.0
"(40.711321241, -74.000787786)",37.4
"(40.711322845, -73.983766046)",8.5
"(40.71132284500004, -73.98376604599997)",14.2
"(40.711333802, -73.983614546)",36.4
"(40.71133380200007, -73.98361454599996)",7.0
"(40.711334838, -74.005473365)",24.2
"(40.71133483800003, -74.00547336499993)",25.5
"(40.711350229, -73.983318763)",7.0
"(40.711351165, -73.992080328)",98.9
"(40.711370606, -73.996783942)",43.8
"(40.71137060600006, -73.996783942)",8.5
"(40.711378562, -74.008615126)",47.5
"(40.71137856200004, -74.00861512599994)",14.2
"(40.711389864, -74.000106051)",196.2
"(40.711389864000076, -74.000106051)",47.099999999999994
"(40.711392016, -73.988314542)",14.0
"(40.71139201600005, -73.98831454199996)",8.5
"(40.711402273, -73.982597336)",160.9
"(40.71140227300003, -73.98259733599998)",14.0
"(40.71144097900003, -74.01543971399997)",4.5
"(40.711471206000056, -73.98481927399997)",8.5
"(40.711481696, -73.981475515)",69.6
"(40.71148169600008, -73.98147551499993)",11.5
"(40.711483099, -73.995525067)",106.89999999999999
"(40.71148309900008, -73.99552506699997)",21.2
"(40.711512653, -73.987080901)",134.9
"(40.71151265300006, -73.98708090099996)",15.5
"(40.71152551, -73.980851479)",7.0
"(40.71154194, -73.98062062)",16.9
"(40.711543094, -74.010465578)",7.1
"(40.71154309400004, -74.01046557799998)",12.9
"(40.711545552, -73.986745438)",36.5
"(40.711564939, -73.988343369)",110.89999999999999
"(40.71156493900003, -73.98834336899995)",14.2
"(40.711576265, -74.007460887)",11.7
"(40.711578169, -74.015786025)",11.5
"(40.71157816900006, -74.01578602499995)",9.0
"(40.711584739, -73.999171819)",116.1
"(40.711601067, -73.994262581)",135.9
"(40.71160106800004, -73.99426618799998)",7.1
"(40.71160375, -74.006862114)",11.5
"(40.711630527, -73.985800365)",235.2
"(40.71163052700007, -73.985800365)",31.0
"(40.711642215, -73.993808085)",91.0
"(40.711655958, -74.005819672)",4.5
"(40.71166419200006, -74.00583049399995)",9.0
"(40.711699719, -74.008348243)",7.0
"(40.71169971900008, -74.00834824299993)",14.1
"(40.711705508, -74.000874361)",7.1
"(40.711716447, -73.996863282)",230.2
"(40.71171644700007, -73.99686328199994)",14.1
"(40.711720984, -73.984855288)",50.0
"(40.711735474, -74.007262514)",8.4
"(40.711743705, -73.992675451)",29.6
"(40.71174647000004, -74.00698837699997)",4.5
"(40.711746682, -74.000290013)",7.1
"(40.71174668200007, -74.00029001299998)",15.5
"(40.711749046, -74.009361841)",17.7
"(40.71174904600008, -74.00936184099999)",4.5
"(40.711757449, -74.006991985)",16.1
"(40.711784844, -73.992184882)",55.7
"(40.711787853, -73.999702057)",20.0
"(40.71178785300003, -73.999702057)",4.5
"(40.711817586, -74.010296087)",8.4
"(40.711842747, -73.999128529)",211.5
"(40.71184274700005, -73.99912852899996)",25.5
"(40.711879553, -73.980667414)",9.2
"(40.711886658, -73.998677643)",15.4
"(40.711886658000026, -73.99867764299995)",7.0
"(40.711905693, -74.00654472)",7.0
"(40.71191570400004, -73.98369736599993)",7.1
"(40.711933165, -74.00610105)",18.2
"(40.711933313, -73.998226754)",231.6
"(40.71193331300003, -73.99822675399997)",67.3
"(40.711952093, -73.989854676)",407.59999999999997
"(40.71195209300004, -73.98985467599994)",89.1
"(40.711957889, -73.99431305)",54.9
"(40.711957889000075, -73.99431304999997)",7.1
"(40.711979966, -73.997772258)",36.7
"(40.71197996600006, -73.99777225799994)",4.5
"(40.71200166, -74.008102998)",59.4
"(40.712015525, -74.005769204)",21.3
"(40.712029363, -73.997361047)",7.1
"(40.712072861, -74.01015545)",41.0
"(40.712078759, -73.996949835)",47.8
"(40.71207875900007, -73.99694983499995)",20.6
"(40.712114237, -73.992498661)",7.0
"(40.712130687, -73.992228127)",30.2
"(40.71213068700007, -73.99222812699998)",11.6
"(40.712158272, -74.005358006)",25.2
"(40.712177476, -74.005563612)",47.6
"(40.71217747600008, -74.00556361199995)",52.3
"(40.712196821, -73.999294453)",15.4
"(40.71219682100008, -73.99929445299993)",15.6
"(40.712199486, -73.995654876)",115.4
"(40.71219948600003, -73.99565487599993)",14.0
"(40.712217166, -73.980714209)",71.7
"(40.712229008, -73.986835479)",226.7
"(40.712229008000065, -73.98683547899996)",67.2
"(40.712246224, -73.998782242)",52.8
"(40.712246224000076, -73.99878224199995)",14.0
"(40.71227066300003, -74.00788299599996)",8.4
"(40.712270827, -74.004921553)",4.5
"(40.71227191400004, -73.97984487799994)",8.5
"(40.712317456, -73.994363519)",32.6
"(40.712317456000044, -73.99436351899999)",11.6
"(40.712342143, -73.994053305)",21.0
"(40.71234214300006, -73.99405330499997)",7.2
"(40.712347783, -74.000881584)",7.0
"(40.712358746, -73.997880459)",28.2
"(40.712363271, -73.984952536)",14.0
"(40.71236327100007, -73.98495253599998)",8.4
"(40.712364836, -73.977680577)",8.5
"(40.712366656, -74.008885788)",32.2
"(40.71236665600002, -74.00888578799999)",9.0
"(40.712413235, -74.009895789)",9.2
"(40.712417052, -73.978019629)",32.8
"(40.71241705200004, -73.97801962899997)",13.0
"(40.712431812, -73.984364559)",35.3
"(40.7124354, -73.992906231)",7.0
"(40.71243540000006, -73.99290623099995)",4.5
"(40.71244059100008, -74.01090217999997)",7.0
"(40.712443814, -73.997032782)",14.0
"(40.71244381400004, -73.99703278199996)",7.0
"(40.712469833, -73.981615918)",14.1
"(40.712471043, -73.992311051)",147.4
